Date,Price,Open,High,Low,Vol.,Change %
Jun-09,"3,954.90","3,826.40","4,079.40","3,767.90",28.43B,3.59%
Jul-09,"4,244.00","3,939.50","4,247.90","3,709.20",23.79B,7.31%
Aug-09,"4,479.10","4,245.90","4,537.20","4,245.90",35.12B,5.54%
Sep-09,"4,743.60","4,476.60","4,767.90","4,410.00",31.23B,5.91%
Oct-09,"4,643.20","4,738.80","4,895.30","4,562.50",25.74B,-2.12%
Nov-09,"4,701.40","4,611.00","4,799.00","4,502.50",22.43B,1.25%
Dec-09,"4,870.60","4,696.90","4,873.60","4,596.20",17.65B,3.60%
Jan-10,"4,569.60","4,864.90","4,955.10","4,566.70",16.74B,-6.18%
Feb-10,"4,637.70","4,569.90","4,718.30","4,464.90",21.15B,1.49%
Mar-10,"4,875.50","4,633.10","4,928.90","4,633.10",25.60B,5.13%
Apr-10,"4,807.40","4,880.00","5,025.10","4,779.30",20.55B,-1.40%
May-10,"4,429.70","4,782.80","4,804.50","4,175.70",27.11B,-7.86%
Jun-10,"4,301.50","4,430.60","4,622.00","4,249.50",21.02B,-2.89%
Jul-10,"4,493.50","4,284.60","4,531.60","4,182.30",18.41B,4.46%
Aug-10,"4,404.20","4,495.10","4,598.70","4,313.90",23.05B,-1.99%
Sep-10,"4,582.90","4,413.30","4,698.00","4,413.30",22.95B,4.06%
Oct-10,"4,661.60","4,593.10","4,725.90","4,559.00",20.69B,1.72%
Nov-10,"4,584.40","4,665.70","4,815.00","4,551.20",22.13B,-1.66%
Dec-10,"4,745.20","4,581.40","4,811.90","4,557.00",16.83B,3.51%
Jan-11,"4,753.90","4,758.30","4,839.20","4,686.50",15.81B,0.18%
Feb-11,"4,831.70","4,759.10","4,944.40","4,751.80",17.75B,1.64%
Mar-11,"4,837.90","4,839.70","4,864.30","4,477.40",26.03B,0.13%
Apr-11,"4,823.20","4,836.10","4,976.40","4,788.60",16.50B,-0.30%
May-11,"4,708.30","4,826.30","4,835.50","4,582.70",20.94B,-2.38%
Jun-11,"4,608.00","4,711.30","4,724.80","4,451.70",20.35B,-2.13%
Jul-11,"4,424.60","4,612.20","4,657.40","4,421.10",18.56B,-3.98%
Aug-11,"4,296.50","4,440.90","4,517.40","3,765.90",26.63B,-2.90%
Sep-11,"4,008.60","4,297.90","4,354.60","3,862.40",24.25B,-6.70%
Oct-11,"4,298.10","3,990.60","4,417.60","3,840.20",17.74B,7.22%
Nov-11,"4,119.80","4,278.10","4,365.00","3,973.80",17.16B,-4.15%
Dec-11,"4,056.60","4,157.50","4,335.20","4,038.10",14.34B,-1.53%
Jan-12,"4,262.70","4,069.90","4,315.60","4,069.10",12.73B,5.08%
Feb-12,"4,298.50","4,258.90","4,318.80","4,170.20",18.15B,0.84%
Mar-12,"4,335.20","4,291.00","4,361.10","4,143.70",19.19B,0.85%
Apr-12,"4,396.60","4,349.40","4,397.90","4,246.10",12.93B,1.42%
May-12,"4,076.30","4,398.60","4,448.50","4,024.80",19.86B,-7.29%
Jun-12,"4,094.60","4,076.30","4,159.30","3,985.00",17.07B,0.45%
Jul-12,"4,269.20","4,094.60","4,288.10","4,062.30",14.34B,4.26%
Aug-12,"4,316.10","4,269.20","4,403.90","4,212.70",17.67B,1.10%
Sep-12,"4,387.00","4,310.00","4,421.00","4,261.20",16.51B,1.64%
Oct-12,"4,517.00","4,387.00","4,581.80","4,375.00",14.85B,2.96%
Nov-12,"4,506.00","4,517.00","4,519.30","4,334.30",15.73B,-0.24%
Dec-12,"4,649.00","4,506.00","4,688.60","4,500.20",12.30B,3.17%
Jan-13,"4,878.80","4,648.90","4,906.20","4,648.90",13.14B,4.94%
Feb-13,"5,104.10","4,878.80","5,112.50","4,869.50",15.11B,4.62%
Mar-13,"4,966.50","5,104.10","5,163.50","4,927.90",15.31B,-2.70%
Apr-13,"5,191.20","4,966.50","5,195.10","4,883.70",14.58B,4.52%
May-13,"4,926.60","5,187.30","5,249.60","4,897.90",17.14B,-5.10%
Jun-13,"4,802.60","4,926.60","4,933.30","4,632.30",15.15B,-2.52%
Jul-13,"5,052.00","4,802.60","5,098.50","4,702.70",14.33B,5.19%
Aug-13,"5,135.00","5,052.00","5,168.20","5,007.90",14.91B,1.64%
Sep-13,"5,218.90","5,135.00","5,314.30","5,115.10",13.75B,1.63%
Oct-13,"5,425.50","5,218.90","5,457.30","5,118.90",12.75B,3.96%
Nov-13,"5,320.10","5,425.50","5,439.20","5,284.90",12.46B,-1.94%
Dec-13,"5,352.20","5,320.00","5,367.40","5,028.20",12.43B,0.60%
Jan-14,"5,190.00","5,352.20","5,383.40","5,158.90",10.81B,-3.03%
Feb-14,"5,404.80","5,190.00","5,461.70","5,052.20",13.69B,4.14%
Mar-14,"5,394.80","5,404.80","5,462.30","5,288.50",15.04B,-0.19%
Apr-14,"5,489.10","5,394.80","5,554.50","5,350.50",10.54B,1.75%
May-14,"5,492.50","5,489.10","5,541.70","5,372.10",12.37B,0.06%
Jun-14,"5,395.70","5,484.10","5,526.00","5,373.60",12.43B,-1.76%
Jul-14,"5,632.90","5,395.70","5,644.20","5,370.90",12.09B,4.40%
