,ASX
2010-04-06,3.2442920207977295
2010-04-07,3.2716128826141357
2010-04-08,3.1896514892578125
2010-04-09,3.2716128826141357
2010-04-12,3.312593698501587
2010-04-13,3.339914321899414
2010-04-14,3.4287049770355225
2010-04-15,3.462855577468872
2010-04-16,3.2784430980682373
2010-04-19,3.2647829055786133
2010-04-20,3.2989330291748047
2010-04-21,3.2921040058135986
2010-04-22,3.3808937072753906
2010-04-23,3.4970059394836426
2010-04-26,3.4423651695251465
2010-04-27,3.3604042530059814
2010-04-28,3.3604042530059814
2010-04-29,3.394554376602173
2010-04-30,3.3194243907928467
2010-05-03,3.339914321899414
2010-05-04,3.2374625205993652
2010-05-05,3.059880256652832
2010-05-06,2.9847493171691895
2010-05-07,3.0803704261779785
2010-05-10,3.3262531757354736
2010-05-11,3.175992012023926
2010-05-12,3.155500888824463
2010-05-13,3.121351480484009
2010-05-14,3.032559633255005
2010-05-17,2.9984095096588135
2010-05-18,2.8959577083587646
2010-05-19,2.8276569843292236
2010-05-20,2.7320361137390137
2010-05-21,2.848147392272949
2010-05-24,2.8754677772521973
2010-05-25,2.8071670532226562
2010-05-26,2.8618075847625732
2010-05-27,2.9437687397003174
2010-05-28,2.854977607727051
2010-06-01,2.8413174152374268
2010-06-02,2.8754677772521973
2010-06-03,2.964259147644043
2010-06-04,2.8139967918395996
2010-06-07,2.711545705795288
2010-06-08,2.7320361137390137
2010-06-09,2.656904697418213
2010-06-10,2.7593560218811035
2010-06-11,2.8139967918395996
2010-06-14,2.854977607727051
2010-06-15,2.964259147644043
2010-06-16,2.950598955154419
2010-06-17,2.9301085472106934
2010-06-18,2.8413174152374268
2010-06-21,2.9369394779205322
2010-06-22,2.8891282081604004
2010-06-23,2.909618616104126
2010-06-24,2.8754677772521973
2010-06-25,2.854977607727051
2010-06-28,2.8754677772521973
2010-06-29,2.725205898284912
2010-06-30,2.670565128326416
2010-07-01,2.643244981765747
2010-07-02,2.6500747203826904
2010-07-06,2.7593560218811035
2010-07-07,2.8071670532226562
2010-07-08,2.8208272457122803
2010-07-09,2.848147392272949
2010-07-12,2.8276569843292236
2010-07-13,2.8208272457122803
2010-07-14,2.848147392272949
2010-07-15,2.854977607727051
2010-07-16,2.779846429824829
2010-07-19,2.8208272457122803
2010-07-20,2.8208272457122803
2010-07-21,2.7730166912078857
2010-07-22,2.8276569843292236
2010-07-23,2.854977607727051
2010-07-26,2.8891282081604004
2010-07-27,2.716982841491699
2010-07-28,2.668588876724243
2010-07-29,2.675502300262451
2010-07-30,2.620195150375366
2010-08-02,2.7930309772491455
2010-08-03,2.8414251804351807
2010-08-04,2.8137714862823486
2010-08-05,2.7722911834716797
2010-08-06,2.7377235889434814
2010-08-09,2.7308101654052734
2010-08-10,2.7031562328338623
2010-08-11,2.620195150375366
2010-08-12,2.627108573913574
2010-08-13,2.571800708770752
2010-08-16,2.620195150375366
2010-08-17,2.578714370727539
2010-08-18,2.551060676574707
2010-08-19,2.613281726837158
2010-08-20,2.620195150375366
2010-08-23,2.647848606109619
2010-08-24,2.557974100112915
2010-08-25,2.54414701461792
2010-08-26,2.4542722702026367
2010-08-27,2.509580135345459
2010-08-30,2.4197049140930176
2010-08-31,2.3436572551727295
2010-09-01,2.4197049140930176
2010-09-02,2.4680991172790527
2010-09-03,2.537233829498291
2010-09-07,2.47501277923584
2010-09-08,2.502666473388672
2010-09-09,2.481926202774048
2010-09-10,2.502666473388672
2010-09-13,2.551060676574707
2010-09-14,2.6340219974517822
2010-09-15,2.647848606109619
2010-09-16,2.668588876724243
2010-09-17,2.647848606109619
2010-09-20,2.6547622680664062
2010-09-21,2.668588876724243
2010-09-22,2.7031562328338623
2010-09-23,2.682415723800659
2010-09-24,2.7377235889434814
2010-09-27,2.7308101654052734
2010-09-28,2.7861175537109375
2010-09-29,2.8759920597076416
2010-09-30,2.8414251804351807
2010-10-01,2.8621652126312256
2010-10-04,2.8275980949401855
2010-10-05,2.903646230697632
2010-10-06,2.8898189067840576
2010-10-07,2.8414251804351807
2010-10-08,2.8345117568969727
2010-10-11,2.7792041301727295
2010-10-12,2.7308101654052734
2010-10-13,2.8206846714019775
2010-10-14,2.8206846714019775
2010-10-15,2.7722911834716797
2010-10-18,2.7722911834716797
2010-10-19,2.7377235889434814
2010-10-20,2.7653775215148926
2010-10-21,2.7930309772491455
2010-10-22,2.7999444007873535
2010-10-25,2.965867280960083
2010-10-26,2.9243862628936768
2010-10-27,2.9312996864318848
2010-10-28,3.035001516342163
2010-10-29,3.0557422637939453
2010-11-01,3.1110496520996094
2010-11-02,3.1870977878570557
2010-11-03,3.1317899227142334
2010-11-04,3.2354912757873535
2010-11-05,3.228578567504883
2010-11-08,3.1179633140563965
2010-11-09,3.1801836490631104
2010-11-10,3.2216637134552
2010-11-11,3.1870977878570557
2010-11-12,3.1179633140563965
2010-11-15,3.1525299549102783
2010-11-16,3.1179633140563965
2010-11-17,3.1248767375946045
2010-11-18,3.1801836490631104
2010-11-19,3.1940104961395264
2010-11-22,3.297712564468384
2010-11-23,3.2424046993255615
2010-11-24,3.2838852405548096
2010-11-26,3.366847038269043
2010-11-29,3.387587308883667
2010-11-30,3.5258562564849854
2010-12-01,3.6502981185913086
2010-12-02,3.6710381507873535
2010-12-03,3.6572110652923584
2010-12-06,3.6779515743255615
2010-12-07,3.6295576095581055
2010-12-08,3.6710381507873535
2010-12-09,3.843874216079712
2010-12-10,3.8231348991394043
2010-12-13,3.7954797744750977
2010-12-14,3.8093080520629883
2010-12-15,3.8093080520629883
2010-12-16,4.0097975730896
2010-12-17,4.023624897003174
2010-12-20,3.857700824737549
2010-12-21,3.864614963531494
2010-12-22,3.7954797744750977
2010-12-23,3.802393913269043
2010-12-27,3.802393913269043
2010-12-28,3.802393913269043
2010-12-29,3.788567066192627
2010-12-30,3.8231348991394043
2010-12-31,3.9683167934417725
2011-01-03,3.9544897079467773
2011-01-04,4.002882957458496
2011-01-05,3.836961269378662
2011-01-06,3.7954797744750977
2011-01-07,3.8093080520629883
2011-01-10,3.8231348991394043
2011-01-11,4.085845470428467
2011-01-12,4.203373432159424
2011-01-13,4.182633399963379
2011-01-14,4.175719738006592
2011-01-18,4.355469226837158
2011-01-19,4.445343494415283
2011-01-20,4.417690277099609
2011-01-21,4.307075023651123
2011-01-24,4.334729194641113
2011-01-25,4.320901870727539
2011-01-26,4.45225715637207
2011-01-27,4.459170818328857
2011-01-28,4.21720027923584
2011-01-31,4.231027603149414
2011-02-01,4.348556041717529
2011-02-02,4.376209259033203
2011-02-03,4.376209259033203
2011-02-04,4.52139139175415
2011-02-07,4.528305530548096
2011-02-08,4.38312292098999
2011-02-09,4.279421329498291
2011-02-10,4.127325534820557
2011-02-11,4.037451267242432
2011-02-14,4.154979228973389
2011-02-15,4.154979228973389
2011-02-16,4.154979228973389
2011-02-17,4.030537128448486
2011-02-18,4.168806552886963
2011-02-22,3.9959702491760254
2011-02-23,3.9614031314849854
2011-02-24,3.9475760459899902
2011-02-25,3.9959702491760254
2011-02-28,3.9544897079467773
2011-03-01,4.01671028137207
2011-03-02,4.030537128448486
2011-03-03,4.106585502624512
2011-03-04,4.148065567016602
2011-03-07,4.058191299438477
2011-03-08,4.099670886993408
2011-03-09,3.91300892829895
2011-03-10,3.6779515743255615
2011-03-11,3.8093080520629883
2011-03-14,3.781653642654419
2011-03-15,3.7401726245880127
2011-03-16,3.6088171005249023
2011-03-17,3.6502981185913086
2011-03-18,3.7056055068969727
2011-03-21,3.9268360137939453
2011-03-22,3.8231348991394043
2011-03-23,3.830047607421875
2011-03-24,3.9614031314849854
2011-03-25,3.9268360137939453
2011-03-28,3.788567066192627
2011-03-29,3.684865713119507
2011-03-30,3.753999948501587
2011-03-31,3.788567066192627
2011-04-01,3.7954797744750977
2011-04-04,3.8093080520629883
2011-04-05,3.871527910232544
2011-04-06,3.9406626224517822
2011-04-07,3.843874216079712
2011-04-08,3.871527910232544
2011-04-11,3.7954797744750977
2011-04-12,3.6572110652923584
2011-04-13,3.6157310009002686
2011-04-14,3.6226437091827393
2011-04-15,3.5189428329467773
2011-04-18,3.484375476837158
2011-04-19,3.5604236125946045
2011-04-20,3.6226437091827393
2011-04-21,3.767827033996582
2011-04-25,3.767827033996582
2011-04-26,3.836961269378662
2011-04-27,3.91300892829895
2011-04-28,4.0789313316345215
2011-04-29,4.0789313316345215
2011-05-02,4.072018146514893
2011-05-03,4.0789313316345215
2011-05-04,4.030537128448486
2011-05-05,4.092758655548096
2011-05-06,4.072018146514893
2011-05-09,4.203373432159424
2011-05-10,4.182633399963379
2011-05-11,4.099670886993408
2011-05-12,4.1411519050598145
2011-05-13,4.1204118728637695
2011-05-16,4.072018146514893
2011-05-17,4.002882957458496
2011-05-18,4.1342387199401855
2011-05-19,4.0512776374816895
2011-05-20,4.0443644523620605
2011-05-23,3.9406626224517822
2011-05-24,3.91300892829895
2011-05-25,3.899181842803955
2011-05-26,3.9060957431793213
2011-05-27,4.0443644523620605
2011-05-31,4.251767635345459
2011-06-01,4.231027603149414
2011-06-02,4.237940311431885
2011-06-03,4.334729194641113
2011-06-06,4.293248176574707
2011-06-07,4.348556041717529
2011-06-08,4.237940311431885
2011-06-09,4.265594959259033
2011-06-10,4.148065567016602
2011-06-13,4.0512776374816895
2011-06-14,4.113498687744141
2011-06-15,3.9614031314849854
2011-06-16,3.878441572189331
2011-06-17,3.871527910232544
2011-06-20,3.892268180847168
2011-06-21,4.01671028137207
2011-06-22,4.065105438232422
2011-06-23,3.9614031314849854
2011-06-24,3.788567066192627
2011-06-27,3.7747395038604736
2011-06-28,3.899181842803955
2011-06-29,3.8231348991394043
2011-06-30,3.899181842803955
2011-07-01,3.975229263305664
2011-07-05,3.9060957431793213
2011-07-06,3.919922113418579
2011-07-07,3.975229263305664
2011-07-08,3.919922113418579
2011-07-11,3.8093080520629883
2011-07-12,3.6641249656677246
2011-07-13,3.6295576095581055
2011-07-14,3.6641249656677246
2011-07-15,3.6641249656677246
2011-07-18,3.5327696800231934
2011-07-19,3.4912891387939453
2011-07-20,3.6641249656677246
2011-07-21,3.733259439468384
2011-07-22,3.781653642654419
2011-07-25,3.760913372039795
2011-07-26,3.8507883548736572
2011-07-27,3.781653642654419
2011-07-28,3.788567066192627
2011-07-29,3.6710381507873535
2011-08-01,3.781653642654419
2011-08-02,3.6641249656677246
2011-08-03,3.6019039154052734
2011-08-04,3.408327102661133
2011-08-05,3.228578567504883
2011-08-08,3.1801836490631104
2011-08-09,3.366847038269043
2011-08-10,3.456721782684326
2011-08-11,3.6641249656677246
2011-08-12,3.199678421020508
2011-08-15,3.2278692722320557
2011-08-16,3.199678421020508
2011-08-17,3.1362485885620117
2011-08-18,2.8895773887634277
2011-08-19,2.8472909927368164
2011-08-22,2.89662504196167
2011-08-23,3.0305325984954834
2011-08-24,2.9882454872131348
2011-08-25,2.9882454872131348
2011-08-26,3.0305325984954834
2011-08-29,3.171487331390381
2011-08-30,3.20672607421875
2011-08-31,3.1644389629364014
2011-09-01,3.086914539337158
2011-09-02,3.1644389629364014
2011-09-06,3.150343656539917
2011-09-07,3.3476810455322266
2011-09-08,3.199678421020508
2011-09-09,3.1573920249938965
2011-09-12,3.2278692722320557
2011-09-13,3.241964101791382
2011-09-14,3.213773727416992
2011-09-15,3.3970158100128174
2011-09-16,3.481588125228882
2011-09-19,3.3970158100128174
2011-09-20,3.3688244819641113
2011-09-21,3.3124420642852783
2011-09-22,3.178535223007202
2011-09-23,3.171487331390381
2011-09-26,3.0587234497070312
2011-09-27,3.1573920249938965
2011-09-28,3.0375797748565674
2011-09-29,3.0446279048919678
2011-09-30,2.9741501808166504
2011-10-03,2.8543384075164795
2011-10-04,3.023484706878662
2011-10-05,3.023484706878662
2011-10-06,3.0657711029052734
2011-10-07,3.1080574989318848
2011-10-10,3.1573920249938965
2011-10-11,3.1926307678222656
2011-10-12,3.2208218574523926
2011-10-13,3.0375797748565674
2011-10-14,3.023484706878662
2011-10-17,3.0305325984954834
2011-10-18,3.086914539337158
2011-10-19,3.0093889236450195
2011-10-20,2.9177682399749756
2011-10-21,2.9882454872131348
