"Date","Price","Open","High","Low","Vol.","Change %"
"May 18","7,485.8","9,240.7","9,990.0","7,048.6","820.00K","-18.98%"
"Jun 18","6,391.5","7,485.9","7,777.4","5,762.9","721.71K","-14.62%"
"Jul 18","7,730.6","6,617.6","8,500.2","6,080.8","785.16K","20.95%"
"Aug 18","7,025.9","7,731.3","7,755.6","5,879.3","926.33K","-9.12%"
"Sep 18","6,618.1","7,022.9","7,410.3","6,112.7","655.32K","-5.80%"
"Oct 18","6,368.4","6,625.9","7,704.2","6,223.0","412.85K","-3.77%"
"Nov 18","4,038.3","6,374.8","6,607.1","3,663.0","954.42K","-36.59%"
"Dec 18","3,830.5","4,043.6","4,384.0","3,219.2","973.22K","-5.15%"
"Jan 19","3,501.1","3,832.6","4,214.5","3,427.2","438.33K","-8.60%"
"Feb 19","3,894.0","3,502.7","4,282.4","3,426.9","376.31K","11.22%"
"Mar 19","4,167.6","3,894.0","4,210.0","3,767.4","209.86K","7.03%"
"Apr 19","5,599.5","4,167.5","5,647.4","4,127.2","413.61K","34.36%"
"May 19","8,533.3","5,599.6","9,100.0","5,585.5","501.56K","52.39%"
"Jun 19","10,745.0","8,531.9","13,764.0","7,461.0","506.18K","25.92%"
"Jul 19","10,088.0","10,777.0","13,173.0","9,111.0","498.49K","-6.11%"
"Aug 19","9,623.9","10,096.0","12,307.0","9,360.4","267.64K","-4.60%"
"Sep 19","8,331.1","9,623.9","10,933.0","7,753.0","203.49K","-13.43%"
"Oct 19","9,185.6","8,331.1","10,464.1","7,341.5","202.42K","10.26%"
"Nov 19","7,599.9","9,185.6","9,621.8","6,619.4","176.81K","-17.26%"
"Dec 19","7,208.3","7,599.9","7,887.7","6,479.4","163.80K","-5.15%"
"Jan 20","9,367.4","7,208.2","9,550.0","6,909.3","196.26K","29.95%"
"Feb 20","8,557.3","9,371.3","10,489.0","8,455.2","220.57K","-8.65%"
"Mar 20","6,427.7","8,561.5","9,231.1","4,001.0","653.74K","-24.89%"
"Apr 20","8,635.3","6,429.0","9,438.8","6,180.0","311.03K","34.35%"
"May 20","9,452.1","8,630.8","10,045.0","8,107.4","277.15K","9.46%"
"Jun 20","9,150.6","9,452.1","10,390.0","8,857.3","148.73K","-3.19%"
"Jul 20","11,350.0","9,150.6","11,378.0","8,950.2","117.37K","24.04%"
"Aug 20","11,671.0","11,350.0","12,415.0","11,032.0","146.79K","2.83%"
"Sep 20","10,794.0","11,671.0","12,037.0","9,964.1","128.34K","-7.51%"
"Oct 20","13,788.0","10,795.0","13,958.0","10,476.0","125.27K","27.74%"
"Nov 20","19,686.0","13,788.0","19,723.0","13,401.0","284.29K","42.78%"
"Dec 20","28,933.0","19,695.0","29,133.0","17,764.0","293.56K","46.97%"
"Jan 21","33,141.0","28,933.0","41,616.0","28,932.0","479.93K","14.54%"
"Feb 21","45,300.0","33,141.0","58,238.0","32,595.0","321.22K","36.69%"
"Mar 21","58,796.0","45,300.0","61,468.0","45,300.0","267.80K","29.79%"
"Apr 21","57,637.0","58,796.0","64,374.0","48,409.8","251.62K","-1.97%"
"May 21","37,305.0","57,634.7","59,454.3","32,623.0","430.70K","-35.28%"
"Jun 21","35,043.5","37,305.0","40,732.0","29,927.0","352.27K","-6.06%"
"Jul 21","34,200.0","35,043.5","35,782.0","32,727.0","31.80K","-2.41%"
